date,height,error
2018-12-08,73.618,0.1433
2019-01-04,73.116,0.0159
2019-01-31,73.626,0.0697
2019-02-27,73.996,0.1633
2019-03-26,74.016,0.0155
2019-04-22,74.5,0.0262
2019-05-19,77.694,0.015
2019-06-15,75.206,0.0856
2019-07-12,72.795,0.0488
2019-08-08,72.386,0.1335
2019-09-04,72.121,0.0215
2019-10-01,71.892,0.0617
2019-10-28,71.618,1.0013
2019-11-24,74.883,0.2846
2019-12-21,74.223,0.1548
2020-01-17,72.898,0.1647
2020-02-13,73.332,0.0316
2020-03-11,75.611,0.0173
2020-04-07,72.794,0.0608
2020-05-04,72.24,0.0499
2020-05-31,71.75,0.5064
2020-06-27,74.869,0.0718
2020-07-24,72.283,0.0426
2020-08-20,72.03,0.1593
2020-09-16,71.117,0.2075
2020-10-13,74.798,1.0721
2020-11-09,73.228,0.1263
2020-12-06,71.752,0.3093
2021-01-02,77.038,0.3258
2021-01-29,77.071,0.0434
2021-02-25,76.374,0.1695
2021-04-20,74.756,0.0602
2021-05-17,73.303,0.1913
2021-06-13,72.618,0.1234
2021-07-10,72.437,0.3877
2021-08-06,72.015,0.0067
2021-09-02,71.993,0.0098
2021-09-29,70.907,0.1871
2021-10-26,71.459,0.0319
2021-11-22,73.005,0.0465
2021-12-19,76.231,0.2533
2022-01-15,74.583,0.0575
2022-02-11,73.409,0.0276
2022-03-10,73.687,0.8546
2022-04-06,75.216,0.0017
2022-05-03,72.916,0.1381
2022-05-30,71.747,0.2721
2022-06-26,72.773,0.0087
2022-07-23,71.97,0.1759
2022-08-19,70.692,0.0404
2022-09-15,71.496,0.1846
2022-10-12,73.547,0.0299
